Question	Minimum Days before repeating (blank means never repeat)
What is something you have been thankful for recently?	14
What is a recent act of kindness that someone has done for you?	21
What song has been stuck in your head recently?	21
How have you been spending your free time recently?	30
When was the last time you crashed out?	30
When was the last time you tried something new? What was it, and did you enjoy it?	30
What has been the highlight of the past month?	30
What is something you're looking forward to in the next month?	30
What is a small joy you experienced recently?	21
What was the most fun thing you did last week?	14
What is a short term goal you have set?	30
What is your favorite building on campus?	
What is your least favorite building on campus?	
What is your go to study spot?	
What is something you have wanted to complain about recently?	30
What is weighing on you these days?	30
What is a recent mistake you have made?	30
What is a recent win that you've had?	30
What restaurant would be your top recommendation?	
What would be on the Mount Rushmore of fruit?	
What irrational fears do you have?	
What is your hot take?	60
What traits in yourself are you most proud of?	
What is a recent compliment you have received?	30
What is your favorite color? Why do you think that is?	
How do you think other people would describe you?	
How do you want to be perceived by other people?	
How would you describe your vibe?	
What is a recent accomplishment of yours?	60
What is a big way that you have changed throughout your life?	
What is a small way that you have changed recently?	30
What is your story?	
What do you care about?	
What is a long term goal you have set?	
What is a rant you've been holding in?	30
What superstitions do you have?	
What is a lesson you have recently learned?	30
What is something somebody has recently taught you?	60
What is something interesting you have learned recently?	30
What is a quote that you live by?	
How would you describe your approach to life?	
What matters to you?	
If you could change one social norm, what would it be?	
What is your hill to die on?	
What do you think is the strangest thing about you?	
If you could eat any food in the world today, what would you pick?	
What did you have for dinner last night?	
What are you up to today?	
What is something you're excited for?	30
What has been a recent challenge for you?	60
What is something you want to improve at?	
What is something you have improved at?	
What is your pet peeve?	
What has someone said to you that stuck with you?	
What is an object that carries a lot of sentimental value for you?	
What are your current favorite songs?	30
What are your favorite movies?	90
What are your favorite TV shows?	90
What color do you think best captures your vibe?	
What is the most fun class you have ever taken?	
What is the most challenging class you have ever taken?	
Where would you like to travel one day?	
What does friendship mean to you?	
What are you doing right now?	30
Fit Check! What is your outfit today?	14
